what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434293922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434295526
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1373434295536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434295846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434296918
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1373434305844
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1373434309559
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1373434319712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434339512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434399796
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1373434399807
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1373434402979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434404826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434408550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1373434408556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434408908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434414689
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1373434414695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434416027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434417271
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373434417346
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1373434417867
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1373434417872
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1373434417872
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1373434417873
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1373434417874
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1373434448702
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1373434448704
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1373434448704
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1373434448705
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1373434448705
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1373434448706
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1373434448706
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1373434448707
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1373434448708
